log_file	tool_version_line	command
outputs/denovo_master/pure_raf_sic/35803_loci/populations.log	populations v2.60, executed 2022-06-16 16:10:11 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_siculus_pure_samples -r 0.6 -O ./pure_raf_sic/ --vcf --plink -t 24
outputs/denovo_master/raffonei_2015_2017/populations.log	populations v2.60, executed 2022-07-11 16:43:54 (zlib-1.2.11	populations -P . -M ../../data/popmaps/Ne_raffonei_2015_2017 -r 0.5 --write-single-snp -O ./2015_2017_raffonei/ --genepop --vcf --plink
outputs/denovo_master/raffonei_all_capo_grosso/no_missing/populations.log	populations v2.60, executed 2022-05-04 17:48:22 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_capo_grosso -O ./raffonei_all_capo_grosso/no_missing/ -t 8 --write-single-snp --vcf --genepop
outputs/denovo_master/raffonei_only/populations.log	populations v2.60, executed 2022-05-03 21:15:26 (zlib-1.2.11	populations -P . -M ../../data/popmaps/raffonei_sfs -O ./raffonei_only/ -t 8 --write-single-snp --vcf
outputs/denovo_master/SFS_building/25_samples/populations.log	populations v2.60, executed 2022-08-30 19:17:13 (zlib-1.2.11	populations -P . -M ../../data/popmaps/sfs_raffonei_inds -O SFS_building/25_samples/ -t 24 --vcf -r 1
outputs/denovo_master/SFS_building/39_samples/populations.log	populations v2.60, executed 2022-08-30 19:36:57 (zlib-1.2.11	populations -P . -M ../../data/popmaps/sfs_raffonei_inds_2 -O SFS_building/39_samples/ -t 24 --vcf -r 1
outputs/denovo_master/SFS_building/73_samples/inhwe/populations.log	populations v2.60, executed 2022-08-30 12:22:32 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_raffonei_edit -O ./SFS_building/inhwe/ -t 24 -B ./SFS_building/inhwe/hwe_blacklist.tsv --vcf
outputs/denovo_master/SFS_building/73_samples/raw/populations.log	populations v2.60, executed 2022-08-30 12:02:16 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_raffonei_edit --vcf -O ./SFS_building/ -t 24
outputs/denovo_master/SFS_building/74_samples/populations.log	populations v2.60, executed 2022-08-30 16:02:56 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_raffonei --vcf -O ./SFS_building/74_samples/ -t 24
outputs/denovo_master/siculus_2015_2017/populations.log	populations v2.60, executed 2022-06-14 17:55:26 (zlib-1.2.11	populations -P . -M ../../data/popmaps/siculus_2015_2017 --write-single-snp --vcf --plink -r 0.8 -O ./siculus_2015_2017/
outputs/denovo_master/siculus_2015_2017_v2/populations.log	populations v2.60, executed 2022-07-11 17:10:33 (zlib-1.2.11	populations -P . -M ../../data/popmaps/siculus_2015_2017 -r 0.5 --write-single-snp -O ./soculus_2015_2017_v2/ --genepop --vcf --plink
outputs/denovo_master/siculus_2017/missing_50/populations.log	populations v2.60, executed 2022-08-16 13:10:26 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_siculus -O ./siculus_2017/missing_50 -t 8 -W ./siculus_2017/missing_50/hwe_whitelist --vcf --genepop --plink
outputs/denovo_master/siculus_2017/missing_50/single_snp/populations.log	populations v2.60, executed 2022-08-16 15:50:23 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_siculus -O ./siculus_2017/missing_50/single_snp -t 8 -W ./siculus_2017/missing_50/hwe_whitelist --vcf --genepop --plink --write-single-snp
outputs/denovo_master/siculus_2017/missing_80/populations.log	populations v2.60, executed 2022-08-16 12:43:12 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_siculus -O ./siculus_2017/missing_80 -t 8 -W ./siculus_2017/missing_80/hwe_whitelist --vcf --genepop --plink
outputs/denovo_master/siculus_2017/missing_80/single_snp/populations.log	populations v2.60, executed 2022-08-16 15:52:32 (zlib-1.2.11	populations -P . -M ../../data/popmaps/2017_siculus -O ./siculus_2017/missing_80/single_snp -t 8 -W ./siculus_2017/missing_80/hwe_whitelist --vcf --genepop --plink --write-single-snp
outputs/denovo_master/siculus_only/populations.log	populations v2.60, executed 2022-05-10 17:21:28 (zlib-1.2.11	populations -P . -M ../../data/popmaps/siculus_sfs --write-single-snp --vcf -O ./siculus_only/
outputs/denovo_master/tsv2bam.log	tsv2bam v2.60, executed 2022-06-15 16:42:07 (zlib-1.2.11)	tsv2bam -P . -s DB27870 -R ../samples -t 24
outputs/refmap_muralis/all_loci_diversity/populations.log	populations v2.60, executed 2022-08-29 11:46:48 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raf_sic_highqual -W ./all_loci_diversity/all_loci_both_species_noZ_whitelist.tsv -O all_loci_diversity/ -t 24
outputs/refmap_muralis/missing_50/populations.log	populations v2.60, executed 2022-08-29 11:57:54 (zlib-1.2.11	populations -P output/ -M popmaps/raf_sic_highqual -r 0.5 -W ./all_loci_diversity/all_loci_both_species_noZ_whitelist.tsv -O ./missing_50/ --vcf
outputs/refmap_muralis/no_missing/populations.log	populations v2.60, executed 2022-08-29 12:00:22 (zlib-1.2.11	populations -P output/ -M popmaps/raf_sic_highqual -r 1 -W ./all_loci_diversity/all_loci_both_species_noZ_whitelist.tsv -O no_missing/ --vcf -t 24
outputs/refmap_muralis/output/gstacks.log	gstacks v2.60, executed 2022-08-22 12:01:15 (zlib-1.2.11)	/home/dsalvi/programs/stacks-2.60/bin/gstacks -I ./bams/ -M ./popmaps/samples_simple -O ./output -t 24
outputs/refmap_muralis/output/populations.log	populations v2.60, executed 2022-08-22 12:11:28 (zlib-1.2.11	/home/dsalvi/programs/stacks-2.60/bin/populations -P ./output -M ./popmaps/samples_simple -t 24
outputs/refmap_muralis/output/ref_map.log	ref_map.pl version 2.60 started at 2022-08-22 12:01:15	/home/dsalvi/programs/stacks-2.60/bin/ref_map.pl --samples ./bams/ --popmap ./popmaps/samples_simple -o ./output/ -T 24
outputs/refmap_muralis/populations/populations.log	populations v2.60, executed 2022-05-02 20:07:47 (zlib-1.2.11	populations -P ./output -M ../../data/popmaps/capo_raf_vulc_sic_refmap -O ./populations -r 0.9 -t 8 --min-maf 0.05
outputs/refmap_muralis/raffonei/missing_50/populations.log	populations v2.60, executed 2022-08-26 18:38:13 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raffonei_highqual -W ./all_loci_diversity/all_loci_both_species_noZ_whitelist.tsv -r 0.5 -O raffonei/missing_50/ -t 24 --vcf
outputs/refmap_muralis/raffonei_neestimator/missing_50/populations.log	populations v2.60, executed 2022-08-29 16:49:48 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raffonei_highqual -W ./raffonei_neestimator/round_2/pruned_whitelist.tsv -r 0.5 -O ./raffonei_neestimator/ --write-single-snp -t 24 --genepop --vcf
outputs/refmap_muralis/raffonei_neestimator/no_missing/populations.log	populations v2.60, executed 2022-08-29 16:54:00 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raffonei_highqual -W ./raffonei_neestimator/round_2/pruned_whitelist.tsv -r 1 -O ./raffonei_neestimator/no_missing/ --write-single-snp -t 24 --genepop --vcf
outputs/refmap_muralis/raffonei_neestimator/round_1/populations.log	populations v2.60, executed 2022-08-29 16:25:57 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raffonei_highqual -O ./raffonei_neestimator/ -t 24
outputs/refmap_muralis/raffonei_neestimator/round_2/populations.log	populations v2.60, executed 2022-08-29 16:39:48 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raffonei_highqual -O ./raffonei_neestimator/round_2/ -t 24 -B ./raffonei_neestimator/round_1/Z_blacklist --plink
outputs/refmap_muralis/raffonei/no_missing/populations.log	populations v2.60, executed 2022-08-26 18:42:03 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/raffonei_highqual -W ./all_loci_diversity/all_loci_both_species_noZ_whitelist.tsv -r 1 -O raffonei/no_missing/ -t 24 --vcf
outputs/refmap_muralis/raffonei/raffonei_downsampled/iter_1/populations.log	populations v2.60, executed 2022-08-26 18:50:54 (zlib-1.2.11	populations -P ./output/ -M ./popmaps/iter_1 -W ./all_loci_diversity/all_loci_both_species_noZ_whitelist.tsv -r 1 -O raffonei/raffonei_downsampled/iter_1/ -t 24 --vcf
